,age,monthly_income,sex,marital_status,no_of_dependents,risk
220,70,48,0,1,4,0
221,79,58,0,1,4,0
222,64,48,0,1,4,0
223,76,44,1,1,4,0
224,50,42,0,1,4,0
225,64,47,1,1,4,0
226,52,48,1,1,4,0
227,57,56,1,1,4,0
228,62,41,0,1,4,0
229,68,51,1,1,4,0
230,60,52,0,1,4,0
231,65,44,0,1,4,0
232,80,58,0,1,4,0
233,50,58,1,1,4,0
234,73,42,0,1,4,0
235,58,53,0,1,4,0
236,54,42,1,1,4,0
237,55,45,1,1,4,0
238,77,48,1,1,4,0
239,60,52,0,1,4,0
240,68,42,0,1,4,0
241,67,50,0,1,4,0
242,53,47,1,1,4,0
243,68,48,0,1,4,0
244,66,54,1,1,4,0
245,71,60,0,1,4,0
246,62,56,1,1,4,0
247,56,44,1,1,4,0
248,77,51,1,1,4,0
249,73,46,0,1,4,0
250,62,42,0,1,4,0
251,78,45,1,1,4,0
252,74,48,0,1,4,0
253,75,42,0,1,4,0
254,66,60,0,1,4,0
255,62,41,1,1,4,0
256,64,45,1,1,4,0
257,61,59,1,1,4,0
258,77,48,1,1,4,0
259,55,51,0,1,4,0
260,78,51,0,1,4,0
261,79,54,0,1,4,0
262,75,52,1,1,4,0
263,61,53,0,1,4,0
264,71,53,0,1,4,0
265,69,45,1,1,4,0
266,71,52,0,1,4,0
267,65,48,0,1,4,0
268,66,49,1,1,4,0
269,58,56,0,1,4,0
270,60,55,1,1,4,0
271,65,41,0,1,4,0
272,55,53,1,1,4,0
273,54,45,1,1,4,0
274,79,48,1,1,4,0
275,65,56,0,1,4,0
276,75,58,1,1,4,0
277,65,54,0,1,4,0
278,64,55,0,1,4,0
279,55,56,1,1,4,0
280,64,39,1,1,5,0
281,53,36,1,1,5,0
282,72,24,1,1,5,0
283,70,20,1,1,5,0
284,58,36,0,1,5,0
285,65,36,0,1,5,0
286,64,31,1,1,5,0
287,75,39,0,1,5,0
288,53,29,1,1,5,0
289,57,40,0,1,5,0
290,50,20,0,1,5,0
291,56,28,1,1,5,0
292,66,36,0,1,5,0
293,73,35,1,1,5,0
294,53,25,1,1,5,0
295,64,24,1,1,5,0
296,75,33,0,1,5,0
297,70,31,1,1,5,0
298,56,31,1,1,5,0
299,63,32,1,1,5,0
300,62,24,1,1,5,0
301,63,38,1,1,5,0
302,50,29,1,1,5,0
303,52,20,0,1,5,0
304,74,24,1,1,5,0
305,65,35,0,1,5,0
306,75,26,1,1,5,0
307,57,33,0,1,5,0
308,79,40,1,1,5,0
309,75,20,1,1,5,0
310,69,21,0,1,5,0
311,63,37,0,1,5,0
312,51,23,0,1,5,0
313,66,36,1,1,5,0
314,59,21,0,1,5,0
315,77,32,0,1,5,0
316,50,40,0,1,5,0
317,76,20,1,1,5,0
318,50,29,0,1,5,0
319,57,28,1,1,5,0
320,57,26,1,1,5,0
321,51,36,1,1,5,0
322,66,20,0,1,5,0
323,63,32,1,1,5,0
324,62,31,0,1,5,0
325,74,32,0,1,5,0
326,56,24,0,1,5,0
327,72,37,1,1,5,0
328,74,31,0,1,5,0
329,65,30,0,1,5,0
330,70,21,1,1,5,0
331,58,29,0,1,5,0
332,59,32,1,1,5,0
333,78,32,0,1,5,0
334,55,31,0,1,5,0
335,65,38,0,1,5,0
336,55,29,1,1,5,0
337,74,39,1,1,5,0
338,53,39,0,1,5,0
339,60,22,1,1,5,0
340,56,27,0,1,5,0
341,59,34,1,1,5,0
342,69,27,0,1,5,0
343,51,24,0,1,5,0
344,50,40,1,1,5,0
345,52,31,1,1,5,0
346,67,35,0,1,5,0
347,79,24,1,1,5,0
348,74,40,0,1,5,0
349,76,34,0,1,5,0
350,61,27,1,1,5,0
351,76,37,1,1,5,0
352,62,23,1,1,5,0
353,68,21,1,1,5,0
354,78,23,1,1,5,0
355,50,26,0,1,5,0
356,58,29,0,1,5,0
357,73,36,0,1,5,0
358,59,20,0,1,5,0
359,50,39,1,1,5,0
360,64,13,0,1,5,0
361,64,13,0,1,5,0
362,57,11,0,1,5,0
363,72,20,1,1,5,0
364,56,17,1,1,5,0
365,55,17,1,1,5,0
366,67,12,1,1,5,0
367,80,12,0,1,5,0
368,58,15,0,1,5,0
369,70,16,1,1,5,0
370,71,17,0,1,5,0
371,77,16,0,1,5,0
372,66,16,1,1,5,0
373,80,14,1,1,5,0
374,51,13,1,1,5,0
375,57,17,1,1,5,0
376,77,18,1,1,5,0
377,74,17,1,1,5,0
378,61,18,0,1,5,0
379,58,11,0,1,5,0
380,72,11,1,1,5,0
381,74,12,1,1,5,0
382,51,10,1,1,5,0
383,61,13,1,1,5,0
384,77,13,1,1,5,0
385,55,18,1,1,5,0
386,80,18,0,1,5,0
387,52,10,0,1,5,0
388,75,16,0,1,5,0
389,70,19,1,1,5,0
390,80,15,1,1,5,0
391,66,20,1,1,5,0
392,59,20,0,1,5,0
393,56,11,1,1,5,0
394,77,19,0,1,5,0
395,78,10,1,1,5,0
396,53,18,1,1,5,0
397,76,12,1,1,5,0
398,54,11,1,1,5,0
399,70,14,1,1,5,0
